Affiliation with Department	Record Count	% of 1,862
Hong Kong Baptist University Faculty Of Social Sciences	2	0.107
Huazhong Normal University College Of Physical Science And Technology	2	0.107
Humboldt University Of Berlin Institute For Theoretical Biology	2	0.107
Imperial College London Department Of Materials	2	0.107
Imperial College London Faculty Of Engineering	2	0.107
Institute Physics	2	0.107
Jilin University Business School	2	0.107
Jinan University School Of Public Administration And Emergency Management	2	0.107
Johns Hopkins University Carey Business School	2	0.107
King Saud University College Of Computer And Information Sciences	2	0.107
King Saud University Department Of Information Systems	2	0.107
Kyoto University Disaster Prevention Research Institute	2	0.107
Lund University Department Of Sociology	2	0.107
Lund University Faculty Of Social Science	2	0.107
Massachusetts Institute Of Technology Department Of Economics	2	0.107
Mcgill University Faculty Of Arts	2	0.107
Michigan State University Department Of Media And Information	2	0.107
Michigan State University School Of Criminal Justice	2	0.107
Nanjing University Of Aeronautics And Astronautics College Of Computer Science And Technology	2	0.107
Nanyang Technological University College Of Engineering	2	0.107
Nanyang Technological University School Of Computer Science And Engineering	2	0.107
National University Of Singapore Faculty Of Arts Social Sciences	2	0.107
National University Of Singapore Lee Kuan Yew School Of Public Policy	2	0.107
Nc State University College Of Humanities And Social Sciences	2	0.107
Nc State University Department Of Sociology And Anthropology	2	0.107
New York University Wilf Family Department Of Politics	2	0.107
Northeastern University Center For Complex Network Research	2	0.107
Northeastern University College Of Social Science And Humanities	2	0.107
Northeastern University Department Of Sociology And Anthropology	2	0.107
Northeastern University School Of Business Administration	2	0.107
Northeastern University School Of Criminology And Criminal Justice	2	0.107
Northwestern University Department Of Medical Social Sciences	2	0.107
Northwestern University Department Of Sociology	2	0.107
Northwestern University Institute For Policy Research	2	0.107
Northwestern University Judd A And Marjorie Weinberg College Of Arts And Sciences	2	0.107
Nova University Lisbon Information Management School	2	0.107
Ohio University College Of Arts And Sciences	2	0.107
Ohio University School Of Communication Studies	2	0.107
Peking University College Of Engineering	2	0.107
Peking University Faculty Of Information And Engineering Science	2	0.107
Peking University School Of Electronics Engineering And Computer Science	2	0.107
Polytechnic Of Milan Department Of Electronics Information And Bioengineering	2	0.107
Purdue University Brian Lamb School Of Communication	2	0.107
Purdue University Department Of Sociology	2	0.107
Queen S University Belfast School Of Medicine Dentistry And Biomedical Sciences	2	0.107
Radboud University Behavioural Science Institute	2	0.107
Radboud University Faculty Of Arts	2	0.107
Reichman University Sammy Ofer School Of Communications	2	0.107
Renmin University Of China School Of Information	2	0.107
Renmin University Of China School Of Statistics	2	0.107
Rensselaer Polytechnic Institute Department Of Computer Science	2	0.107
Rensselaer Polytechnic Institute School Of Science	2	0.107
Rutgers New Brunswick School Of Communication And Information	2	0.107
San Jose State University Lucas College And Graduate School Of Business	2	0.107
Seoul National University Department Of Psychology	2	0.107
Seoul National University Graduate School Of Public Health	2	0.107
Shanghai Jiao Tong University Department Of Automation	2	0.107
Shanghai Jiao Tong University School Of Electronic Information And Electrical Engineering	2	0.107
Sichuan University Business School	2	0.107
Singapore Management University School Of Social Sciences	2	0.107
Stanford University Department Of Anthropology	2	0.107
Stanford University Department Of Medicine	2	0.107
Stanford University Department Of Statistics	2	0.107
Texas A M University College Of Engineering	2	0.107
Texas A M University Zachry Department Of Civil And Environmental Engineering	2	0.107
The Education University Of Hong Kong Faculty Of Liberal Arts And Social Sciences	2	0.107
The Hong Kong Polytechnic University Department Of Applied Social Sciences	2	0.107
The Hong Kong Polytechnic University Faculty Of Construction And Environment	2	0.107
The Hong Kong Polytechnic University Faculty Of Health And Social Sciences	2	0.107
The Ohio State University College Of Food Agricultural And Environmental Sciences	2	0.107
The Ohio State University School Of Environment And Natural Resources	2	0.107
The Pennsylvania State University Center For Infectious Disease Dynamics	2	0.107
The Pennsylvania State University Department Of Biology	2	0.107
The Pennsylvania State University Eberly College Of Science	2	0.107
The Pennsylvania State University Huck Institutes Of The Life Sciences	2	0.107
The Pennsylvania State University Population Research Institute	2	0.107
The Pennsylvania State University Social Science Research Institute	2	0.107
The University Of Arizona School Of Anthropology	2	0.107
The University Of Arizona School Of Sociology	2	0.107
The University Of British Columbia Department Of Computer Science	2	0.107
The University Of Edinburgh College Of Arts Humanities And Social Science	2	0.107
The University Of Hong Kong Faculty Of Social Sciences	2	0.107
The University Of Iowa Tippie College Of Business	2	0.107
The University Of Melbourne Department Of Finance	2	0.107
The University Of North Carolina At Chapel Hill Carolina Population Center	2	0.107
The University Of North Carolina At Chapel Hill Gillings School Of Global Public Health	2	0.107
The University Of Sheffield Faculty Of Social Sciences	2	0.107
The University Of Tennessee Knoxville College Of Arts And Sciences	2	0.107
The University Of Texas At Austin College Of Liberal Arts	2	0.107
The University Of The West Indies At Mona Department Of Life Sciences	2	0.107
The University Of The West Indies At Mona Faculty Of Science And Technology	2	0.107
The University Of The West Indies At St Augustine Department Of Life Sciences	2	0.107
The University Of The West Indies At St Augustine Faculty Of Science And Technology	2	0.107
The University Of Tokyo Department Of International Studies	2	0.107
The University Of Tokyo Graduate School Of Arts And Sciences College Of Arts And Sciences	2	0.107
The University Of Tokyo Graduate School Of Arts And Sciences Multi Disciplinary Sciences	2	0.107
The University Of Tokyo Graduate School Of Engineering Faculty Of Engineering	2	0.107
The University Of Tokyo Graduate School Of Frontier Sciences	2	0.107
The University Of Western Australia Faculty Of Science	2	0.107
The University Of Western Australia School Of Psychological Science	2	0.107
Tilburg University Department Of Organization Studies	2	0.107
Tokyo Institute Of Technology School Of Computing	2	0.107
Tokyo Institute Of Technology School Of Computing Department Of Computer Science	2	0.107
Tsinghua University School Of Information Science And Technology	2	0.107
Tufts University School Of Arts And Sciences	2	0.107
Tulane University Health Sciences Center	2	0.107
Tulane University School Of Public Health And Tropical Medicine	2	0.107
Umea University Department Of Physics	2	0.107
Umea University Faculty Of Science And Technology	2	0.107
Unc Charlotte College Of Liberal Arts And Sciences	2	0.107
University Carlos Iii Of Madrid Department Of Telematic Engineering	2	0.107
University College London School Of Life And Medical Sciences	2	0.107
University Of Agder Department Of Religion Philosophy And History	2	0.107
University Of Agder Faculty Of Humanities And Education	2	0.107
University Of Amsterdam Department Of Communication Sciences	2	0.107
University Of Amsterdam Department Of Sociology And Anthropology	2	0.107
University Of Amsterdam Informatics Institute	2	0.107
University Of Barcelona Department Of Quantum Physics And Astrophysics	2	0.107
University Of Barcelona Faculty Of Physics	2	0.107
University Of Bath Department Of Economics	2	0.107
University Of Bath Faculty Of Humanities And Social Sciences	2	0.107
University Of Bern Faculty Of Business Economics And Social Sciences	2	0.107
University Of Brescia Department Of Economics And Management	2	0.107
University Of Bristol Department Of Engineering Mathematics	2	0.107
University Of Bristol Faculty Of Engineering	2	0.107
University Of Bristol Merchant Venturers School Of Engineering	2	0.107
University Of California Berkeley College Of Natural Resources	2	0.107
University Of California Berkeley Department Of Environmental Science Policy And Management	2	0.107
University Of California Berkeley Division Of Epidemiology	2	0.107
University Of California Berkeley Haas School Of Business	2	0.107
University Of California Davis Department Of Environmental Science And Policy	2	0.107
University Of California Davis Department Of Sociology	2	0.107
University Of California Davis Graduate School Of Management	2	0.107
University Of California Davis School Of Veterinary Medicine	2	0.107
University Of California Los Angeles Brain Research Institute	2	0.107
University Of California Los Angeles Department Of Social Welfare	2	0.107
University Of California Los Angeles Meyer And Renee Luskin School Of Public Affairs	2	0.107
University Of California San Diego Department Of Family Medicine And Public Health	2	0.107
University Of California Santa Barbara College Of Engineering	2	0.107
University Of California Santa Barbara Department Of Sociology	2	0.107
University Of Cambridge Faculty Of Biology	2	0.107
University Of Cambridge School Of Technology	2	0.107
University Of Cambridge School Of The Biological Sciences	2	0.107
University Of Canberra Faculty Of Arts And Design	2	0.107
University Of Catania Department Of Electrical Electronical Engineering And Computer Science	2	0.107
University Of Central Florida College Of Engineering And Computer Science	2	0.107
University Of Central Florida Department Of Industrial Engineering Management Systems	2	0.107
University Of Central Florida School Of Politics Security And International Affairs	2	0.107
University Of Chile Faculty Of Physical And Mathematical Sciences	2	0.107
University Of Cologne Department Of Physics	2	0.107
University Of Cologne Department Of Theoretical Physics	2	0.107
University Of Cologne Faculty Of Economics And Social Sciences	2	0.107
University Of Cologne Faculty Of Mathematics And Natural Sciences	2	0.107
University Of Cologne Institute Of Sociology And Social Psychology	2	0.107
University Of Colorado Biofrontiers Institute	2	0.107
University Of Colorado Boulder College Of Arts And Sciences	2	0.107
University Of Connecticut College Of Liberal Arts And Sciences	2	0.107
University Of Copenhagen Faculty Of Social Sciences	2	0.107
University Of Exeter Business School	2	0.107
University Of Exeter Centre For Ecology And Conservation	2	0.107
University Of Exeter College Of Social Sciences And International Studies	2	0.107
University Of Exeter Department Of Politics	2	0.107
University Of Exeter School Of Biosciences	2	0.107
University Of Florida Institute Of Food And Agricultural Sciences	2	0.107
University Of Glasgow Adam Smith Business School	2	0.107
University Of Hawai I At Manoa College Of Tropical Agriculture And Human Resources	2	0.107
University Of Hawai I At Manoa Department Of Natural Resources And Environmental Management	2	0.107
University Of Houston College Of Natural Sciences And Mathematics	2	0.107
University Of Kansas College Of Liberal Arts And Sciences	2	0.107
University Of Kansas Department Of Communication Studies	2	0.107
University Of Kentucky College Of Arts And Sciences	2	0.107
University Of Kentucky Department Of Sociology	2	0.107
University Of Ljubljana School Of Economics And Business	2	0.107
University Of Lugano Faculty Of Economics	2	0.107
University Of Maryland At College Park College Of Computer Mathematical And Natural Sciences	2	0.107
University Of Maryland At College Park Department Of Mathematics	2	0.107
University Of Maryland At College Park Department Of Sociology	2	0.107
University Of Miami College Of Arts And Sciences	2	0.107
University Of Miami Department Of Public Health Sciences	2	0.107
University Of Miami School Of Medicine	2	0.107
University Of Michigan Department Of Psychology	2	0.107
University Of Michigan Michigan Medicine	2	0.107
University Of Minnesota Twin Cities College Of Liberal Arts	2	0.107
University Of Minnesota Twin Cities College Of Veterinary Medicine	2	0.107
University Of Minnesota Twin Cities Department Of Sociology	2	0.107
University Of Minnesota Twin Cities School Of Public Health	2	0.107
University Of Minnesota Twin Cities School Of Statistics	2	0.107
University Of Montana College Of Business	2	0.107
University Of Montana W A Franke College Of Forestry And Conservation	2	0.107
University Of New South Wales School Of Biological Earth And Environmental Sciences	2	0.107
University Of Nottingham Business School	2	0.107
University Of Nottingham Faculty Of Social Sciences	2	0.107
University Of Oxford Department Of Sociology	2	0.107
University Of Oxford Edward Grey Institute Of Field Ornithology	2	0.107
University Of Oxford Said Business School	2	0.107
University Of Perugia Department Of Engineering	2	0.107
University Of Rome La Sapienza Department Of Computer Science	2	0.107
University Of Rome La Sapienza Faculty Of Information Engineering Computer Science And Statistics	2	0.107
University Of South Carolina Arnold School Of Public Health	2	0.107
University Of South Carolina Department Of Epidemiology And Biostatistics	2	0.107
University Of Southern California Annenberg School For Communication And Journalism	2	0.107
University Of Southern California Dana And David Dornsife College Of Letters Arts And Sciences	2	0.107
